Arm	# Genes	Amp frequency	Amp frequency score	Amp z-score	Amp q-value	Del frequency	Del frequency score	Del z-score	Del q-value
1p	3092	0.03	0.03	3.73	0.00148	0.00	0.00	-0.862	0.989
1q	2863	0.10	0.10	12.1	0	0.00	0.00	-1.02	0.989
2p	1500	0.00	0.00	-1.87	0.983	0.00	0.00	-1.87	0.989
2q	2495	0.00	0.00	-1.33	0.983	0.00	0.00	-1.33	0.989
3p	1531	0.00	0.00	-1.83	0.983	0.03	0.03	0.35	0.835
3q	1708	0.01	0.01	-0.607	0.983	0.01	0.01	-1.18	0.989
4p	693	0.01	0.01	-1.73	0.983	0.01	0.01	-1.28	0.989
4q	1467	0.00	0.00	-1.87	0.983	0.02	0.02	-0.256	0.989
5p	456	0.03	0.03	-0.52	0.983	0.00	0.00	-2.28	0.989
5q	2185	0.01	0.01	-0.851	0.983	0.00	0.00	-1.51	0.989
6p	1664	0.00	0.00	-1.76	0.983	0.03	0.03	1.06	0.416
6q	1304	0.00	0.00	-1.89	0.983	0.07	0.07	3.28	0.00303
7p	926	0.06	0.06	1.78	0.216	0.01	0.01	-1.57	0.989
7q	1717	0.05	0.05	2.3	0.0819	0.01	0.01	-1.13	0.989
8p	795	0.02	0.02	-0.614	0.983	0.08	0.08	3.11	0.0047
8q	1249	0.08	0.08	4.28	0.000213	0.01	0.02	-0.82	0.989
9p	621	0.00	0.00	-2.1	0.983	0.12	0.12	6.04	7.21e-09
9q	1610	0.00	0.00	-1.77	0.983	0.06	0.06	2.68	0.0156
10p	767	0.01	0.01	-1.2	0.983	0.03	0.03	-0.274	0.989
10q	1968	0.01	0.01	-1	0.983	0.01	0.01	-0.385	0.989
11p	1162	0.00	0.00	-2.02	0.983	0.01	0.01	-1.52	0.989
11q	2133	0.00	0.00	-1.54	0.983	0.01	0.01	-0.236	0.989
12p	804	0.06	0.06	1.71	0.224	0.03	0.03	-0.159	0.989
12q	2055	0.03	0.03	0.994	0.526	0.01	0.01	-0.273	0.989
13q	1092	0.04	0.04	1.06	0.511	0.04	0.04	1.06	0.416
14p	0	0.02	0.02	-1.21	0.983	0.01	0.01	-2.03	0.989
14q	1829	0.02	0.02	0.0789	0.983	0.00	0.00	-1.69	0.989
15q	2082	0.01	0.01	-0.901	0.983	0.03	0.03	1.02	0.418
16p	1378	0.00	0.00	-1.91	0.983	0.01	0.01	-0.863	0.989
16q	1070	0.01	0.01	-1.55	0.983	0.01	0.01	-1.05	0.989
17p	937	0.01	0.02	-0.92	0.983	0.14	0.14	7.69	8.3e-14
17q	2298	0.03	0.03	1.44	0.313	0.05	0.05	3.52	0.00143
18p	212	0.06	0.06	1.22	0.427	0.06	0.06	1.22	0.366
18q	644	0.01	0.01	-1.55	0.983	0.16	0.16	8.43	0
19p	1331	0.01	0.01	-1.4	0.983	0.01	0.01	-0.884	0.989
19q	2402	0.03	0.03	1.54	0.287	0.01	0.01	-0.634	0.989
20p	583	0.03	0.03	-0.405	0.983	0.01	0.01	-1.3	0.989
20q	1092	0.06	0.06	1.98	0.158	0.01	0.01	-1.48	0.989
21p	92	0.01	0.01	-1.9	0.983	0.08	0.08	2.67	0.0156
21q	750	0.00	0.00	-2.13	0.983	0.06	0.06	2.04	0.0736
22p	2	0.01	0.01	-1.89	0.983	0.12	0.12	4.69	1.07e-05
22q	1258	0.00	0.00	-1.93	0.983	0.06	0.06	2.17	0.058
Xp	945	0.01	0.01	-1.09	0.983	0.03	0.03	0.352	0.835
Xq	1533	0.03	0.03	0.409	0.983	0.03	0.03	0.409	0.835
Yp	113	0.06	0.08	2.31	0.0819	0.25	0.26	13.5	0
Yq	245	0.06	0.08	2.43	0.0819	0.25	0.26	13.8	0
