# Using amp_thresh=0.30, del_thresh=0.30
Sample	Low	High
C3L-00017	-0.635000	1.953000
C3N-01719	-0.300000	0.300000
C3N-01900	-0.300000	0.300000
C3N-01907	-0.300000	0.300000
C3N-01997	-0.300000	0.684000
C3N-01998	-0.300000	0.300000
C3N-02010	-0.710000	0.688000
C3N-02295	-0.300000	0.300000
C3N-02573	-0.300000	0.300000
C3N-02579	-0.741000	0.974000
C3N-02585	-1.078000	0.300000
C3N-02589	-0.620000	0.300000
C3L-00640	-0.778000	0.673000
C3L-00819	-1.225000	0.300000
C3L-00881	-0.749000	0.300000
C3L-00928	-0.689000	0.300000
C3L-01031	-0.421000	0.928000
C3N-02592	-0.300000	0.300000
C3N-02768	-0.981000	0.692000
C3N-02940	-0.717000	0.300000
C3N-02944	-0.300000	0.300000
C3N-02971	-0.606000	0.300000
C3N-02998	-0.300000	0.300000
C3N-03000	-0.887000	0.828000
C3N-03006	-0.300000	0.300000
C3N-03007	-0.300000	0.300000
C3N-03039	-0.809000	0.300000
C3N-03061	-0.300000	1.375000
C3N-03069	-0.300000	0.300000
C3N-03086	-0.300000	0.825000
C3N-03173	-0.682000	0.300000
C3N-03190	-0.839000	0.631000
C3N-03211	-0.300000	0.300000
C3N-03426	-0.300000	3.957000
C3N-03428	-0.300000	0.300000
C3N-03430	-0.300000	0.628000
C3N-03439	-0.300000	0.714000
C3N-03440	-0.300000	0.620000
C3N-03665	-0.912000	0.688000
C3N-03666	-0.300000	0.748000
C3N-03670	-0.300000	1.050000
C3N-03754	-0.983000	0.638000
C3N-03780	-0.300000	0.300000
C3N-03839	-0.673000	0.837000
C3N-03840	-0.300000	0.300000
C3N-03853	-0.678000	0.300000
C3N-03884	-0.617000	0.300000
C3N-04119	-0.827000	0.300000
C3N-04126	-0.617000	0.300000
C3N-04282	-1.434000	0.819000
C3N-04283	-0.300000	0.300000
C3N-04284	-0.300000	0.300000
C3L-01036	-0.865000	0.300000
C3L-01037	-1.198000	0.785000
C3L-01051	-0.629000	0.300000
C3L-01052	-0.300000	0.300000
C3L-01053	-0.300000	0.300000
C3L-00102	-0.300000	0.300000
C3L-00189	-0.300000	0.300000
C3L-00277	-0.822000	0.733000
C3L-00401	-0.300000	0.300000
C3L-01054	-0.300000	0.300000
C3L-01124	-0.300000	0.300000
C3L-01328	-0.630000	0.627000
C3L-01453	-0.300000	0.300000
C3L-01598	-0.300000	0.300000
C3L-01637	-0.630000	0.300000
C3L-01662	-0.300000	0.608000
C3L-01687	-0.625000	0.300000
C3L-01689	-0.725000	0.300000
C3L-01703	-0.840000	0.300000
C3L-01971	-0.300000	0.300000
C3L-02109	-0.610000	0.300000
C3L-02112	-0.300000	0.300000
C3L-02115	-0.300000	2.565000
C3L-02116	-0.300000	0.300000
C3L-02118	-0.300000	0.761000
C3L-02463	-0.678000	0.300000
C3L-02604	-0.837000	0.781000
C3L-02606	-0.300000	0.977000
C3L-02610	-0.754000	0.634000
C3L-02613	-0.899000	0.810000
C3L-02701	-0.721000	0.300000
C3L-02809	-0.796000	0.848000
C3L-02890	-0.300000	0.300000
C3L-02897	-0.300000	0.984000
C3L-02899	-0.896000	0.300000
C3L-03123	-0.300000	0.300000
C3L-03129	-0.300000	0.300000
C3L-03356	-0.652000	0.300000
C3L-03371	-0.300000	0.300000
C3L-03388	-1.039000	0.699000
C3L-03394	-0.300000	0.300000
C3L-03395	-0.604000	0.300000
C3L-03628	-0.300000	0.300000
C3L-03630	-0.300000	0.624000
C3L-03632	-0.300000	0.300000
C3L-03635	-0.300000	0.924000
C3L-03639	-1.193000	1.039000
C3L-03743	-0.672000	0.627000
C3L-00589	-0.786000	0.300000
C3L-00598	-0.741000	0.603000
C3L-00599	-0.669000	0.649000
C3L-00622	-0.794000	0.300000
C3L-00625	-0.625000	0.640000
C3L-04027	-0.300000	1.768000
C3L-04072	-1.220000	1.596000
C3L-04080	-0.675000	0.617000
C3L-04473	-0.300000	0.300000
C3L-04475	-0.602000	0.630000
C3L-04479	-0.899000	0.300000
C3L-04495	-0.300000	0.300000
C3L-04848	-0.300000	0.708000
C3L-04853	-0.855000	0.300000
C3N-00198	-0.745000	0.655000
C3N-00249	-1.200000	0.604000
C3N-00302	-1.141000	0.609000
C3N-00303	-0.300000	0.300000
C3N-00436	-0.300000	0.300000
C3N-00511	-0.749000	0.300000
C3N-00512	-0.300000	0.300000
C3N-00513	-0.300000	0.300000
C3N-00514	-0.300000	0.300000
C3N-00516	-1.222000	0.697000
C3N-00517	-0.300000	0.300000
C3N-00518	-0.300000	0.300000
C3N-00709	-0.749000	0.300000
C3N-00957	-0.300000	0.300000
C3N-01011	-0.300000	0.300000
C3N-01012	-0.300000	0.300000
C3N-01165	-0.300000	0.300000
C3N-01166	-0.300000	0.300000
C3N-01167	-0.993000	1.604000
C3N-01168	-0.300000	0.300000
C3N-01375	-0.300000	0.300000
C3N-01379	-0.744000	0.300000
C3N-01380	-0.640000	0.816000
C3N-01381	-0.300000	0.300000
C3N-01382	-0.300000	0.300000
C3N-01383	-0.300000	0.300000
C3N-01388	-0.300000	0.300000
C3N-01502	-0.300000	0.300000
C3N-01714	-0.300000	0.300000
C3N-01715	-0.630000	0.610000
C3N-01716	-1.108000	0.784000
