sample	segment_count	included
C3L-00017	73	yes
C3N-01719	32	yes
C3N-01900	40	yes
C3N-01907	51	yes
C3N-01997	120	yes
C3N-01998	206	yes
C3N-02010	89	yes
C3N-02295	41	yes
C3N-02573	45	yes
C3N-02579	61	yes
C3N-02585	52	yes
C3N-02589	69	yes
C3L-00640	356	yes
C3L-00819	536	yes
C3L-00881	163	yes
C3L-00928	312	yes
C3L-01031	135	yes
C3N-02592	56	yes
C3N-02768	61	yes
C3N-02940	58	yes
C3N-02944	37	yes
C3N-02971	67	yes
C3N-02998	26	yes
C3N-03000	59	yes
C3N-03006	48	yes
C3N-03007	38	yes
C3N-03039	78	yes
C3N-03061	47	yes
C3N-03069	102	yes
C3N-03086	29	yes
C3N-03173	59	yes
C3N-03190	48	yes
C3N-03211	27	yes
C3N-03426	57	yes
C3N-03428	46	yes
C3N-03430	45	yes
C3N-03439	43	yes
C3N-03440	31	yes
C3N-03665	85	yes
C3N-03666	54	yes
C3N-03670	27	yes
C3N-03754	57	yes
C3N-03780	40	yes
C3N-03839	68	yes
C3N-03840	47	yes
C3N-03853	100	yes
C3N-03884	56	yes
C3N-04119	48	yes
C3N-04126	49	yes
C3N-04282	58	yes
C3N-04283	44	yes
C3N-04284	34	yes
C3L-01036	94	yes
C3L-01037	40	yes
C3L-01051	331	yes
C3L-01052	36	yes
C3L-01053	77	yes
C3L-00102	175	yes
C3L-00189	150	yes
C3L-00277	181	yes
C3L-00401	180	yes
C3L-01054	70	yes
C3L-01124	52	yes
C3L-01328	125	yes
C3L-01453	97	yes
C3L-01598	95	yes
C3L-01637	89	yes
C3L-01662	114	yes
C3L-01687	69	yes
C3L-01689	119	yes
C3L-01703	109	yes
C3L-01971	71	yes
C3L-02109	285	yes
C3L-02112	37	yes
C3L-02115	168	yes
C3L-02116	201	yes
C3L-02118	92	yes
C3L-02463	168	yes
C3L-02604	62	yes
C3L-02606	210	yes
C3L-02610	132	yes
C3L-02613	248	yes
C3L-02701	44	yes
C3L-02809	71	yes
C3L-02890	56	yes
C3L-02897	34	yes
C3L-02899	71	yes
C3L-03123	62	yes
C3L-03129	25	yes
C3L-03356	41	yes
C3L-03371	38	yes
C3L-03388	47	yes
C3L-03394	36	yes
C3L-03395	28	yes
C3L-03628	60	yes
C3L-03630	39	yes
C3L-03632	35	yes
C3L-03635	79	yes
C3L-03639	73	yes
C3L-03743	68	yes
C3L-00589	145	yes
C3L-00598	98	yes
C3L-00599	123	yes
C3L-00622	203	yes
C3L-00625	216	yes
C3L-04027	33	yes
C3L-04072	58	yes
C3L-04080	70	yes
C3L-04473	43	yes
C3L-04475	59	yes
C3L-04479	86	yes
C3L-04495	45	yes
C3L-04848	50	yes
C3L-04853	47	yes
C3N-00198	174	yes
C3N-00249	196	yes
C3N-00302	125	yes
C3N-00303	128	yes
C3N-00436	67	yes
C3N-00511	97	yes
C3N-00512	78	yes
C3N-00513	104	yes
C3N-00514	283	yes
C3N-00516	134	yes
C3N-00517	78	yes
C3N-00518	260	yes
C3N-00709	108	yes
C3N-00957	71	yes
C3N-01011	67	yes
C3N-01012	73	yes
C3N-01165	97	yes
C3N-01166	88	yes
C3N-01167	126	yes
C3N-01168	81	yes
C3N-01375	207	yes
C3N-01379	257	yes
C3N-01380	298	yes
C3N-01381	103	yes
C3N-01382	219	yes
C3N-01383	94	yes
C3N-01388	79	yes
C3N-01502	102	yes
C3N-01714	333	yes
C3N-01715	348	yes
C3N-01716	86	yes
