Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	C3L-00017	C3N-01719	C3N-01900	C3N-01907	C3N-01997	C3N-01998	C3N-02010	C3N-02295	C3N-02573	C3N-02579	C3N-02585	C3N-02589	C3L-00640	C3L-00819	C3L-00881	C3L-00928	C3L-01031	C3N-02592	C3N-02768	C3N-02940	C3N-02944	C3N-02971	C3N-02998	C3N-03000	C3N-03006	C3N-03007	C3N-03039	C3N-03061	C3N-03069	C3N-03086	C3N-03173	C3N-03190	C3N-03211	C3N-03426	C3N-03428	C3N-03430	C3N-03439	C3N-03440	C3N-03665	C3N-03666	C3N-03670	C3N-03754	C3N-03780	C3N-03839	C3N-03840	C3N-03853	C3N-03884	C3N-04119	C3N-04126	C3N-04282	C3N-04283	C3N-04284	C3L-01036	C3L-01037	C3L-01051	C3L-01052	C3L-01053	C3L-00102	C3L-00189	C3L-00277	C3L-00401	C3L-01054	C3L-01124	C3L-01328	C3L-01453	C3L-01598	C3L-01637	C3L-01662	C3L-01687	C3L-01689	C3L-01703	C3L-01971	C3L-02109	C3L-02112	C3L-02115	C3L-02116	C3L-02118	C3L-02463	C3L-02604	C3L-02606	C3L-02610	C3L-02613	C3L-02701	C3L-02809	C3L-02890	C3L-02897	C3L-02899	C3L-03123	C3L-03129	C3L-03356	C3L-03371	C3L-03388	C3L-03394	C3L-03395	C3L-03628	C3L-03630	C3L-03632	C3L-03635	C3L-03639	C3L-03743	C3L-00589	C3L-00598	C3L-00599	C3L-00622	C3L-00625	C3L-04027	C3L-04072	C3L-04080	C3L-04473	C3L-04475	C3L-04479	C3L-04495	C3L-04848	C3L-04853	C3N-00198	C3N-00249	C3N-00302	C3N-00303	C3N-00436	C3N-00511	C3N-00512	C3N-00513	C3N-00514	C3N-00516	C3N-00517	C3N-00518	C3N-00709	C3N-00957	C3N-01011	C3N-01012	C3N-01165	C3N-01166	C3N-01167	C3N-01168	C3N-01375	C3N-01379	C3N-01380	C3N-01381	C3N-01382	C3N-01383	C3N-01388	C3N-01502	C3N-01714	C3N-01715	C3N-01716	
Amplification Peak  1	1p36.13 	chr1:19070002-19210000(probes 1697:1705)          	chr1:19090002-19190000(probes 1698:1704)          	chr1:19070002-19250000(probes 1697:1708)          	0.0011278	   0.014294		0: t<0.3; 1: 0.3<t< 0.9; 2: t>0.9	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	
Amplification Peak  2	1p34.3  	chr1:37330002-42800000(probes 3413:3933)          	chr1:39130002-39490000(probes 3585:3616)          	chr1:38850002-41660000(probes 3559:3823)          	0.018117	   0.028858		0: t<0.3; 1: 0.3<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
Amplification Peak  3	1p21.1  	chr1:102850002-103050000(probes 9776:9790)      	chr1:102870002-103030000(probes 9777:9789)      	chr1:102870002-103090000(probes 9777:9793)      	0.00079756	   0.010535		0: t<0.3; 1: 0.3<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2	0	
Amplification Peak  4	1q23.1  	chr1:158570002-158710000(probes 12536:12544)    	chr1:158590002-158690000(probes 12537:12543)    	chr1:158570002-158780000(probes 12536:12550)    	7.2834e-10	 8.6279e-05		0: t<0.3; 1: 0.3<t< 0.9; 2: t>0.9	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	2	1	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	
Amplification Peak  5	1q31.1  	chr1:185950002-186150000(probes 15208:15221)    	chr1:185990002-186130000(probes 15210:15220)    	chr1:185890002-186510000(probes 15204:15251)    	4.3378e-08	 4.9865e-06		0: t<0.3; 1: 0.3<t< 0.9; 2: t>0.9	1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	2	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	2	0	2	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	1	1	0	
Amplification Peak  6	2q31.2  	chr2:178590002-178700000(probes 38511:38517)    	chr2:178610002-178690000(probes 38512:38516)    	chr2:178430002-178890000(probes 38500:38528)    	2.8067e-34	 2.9253e-34		0: t<0.3; 1: 0.3<t< 0.9; 2: t>0.9	0	0	0	0	2	1	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	0	0	0	1	0	0	0	0	0	0	0	1	2	2	1	1	2	2	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	2	2	2	2	2	0	0	0	0	0	0	0	0	2	0	2	0	0	0	1	2	2	2	0	
Amplification Peak  7	2q32.3  	chr2:192960002-195360000(probes 39913:40139)    	chr2:194270002-194390000(probes 40042:40049)    	chr2:194270002-194420000(probes 40042:40052)    	0.11729	    0.12571		0: t<0.3; 1: 0.3<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Amplification Peak  8	3p11.1  	chr3:90590002-91310000(probes 53471:53478)        	chr3:90610002-90690000(probes 53472:53474)        	chr3:90610002-91340000(probes 53472:53480)        	0.083678	   0.083678		0: t<0.3; 1: 0.3<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Amplification Peak  9	3q12.2  	chr3:100720002-100910000(probes 54166:54178)    	chr3:100770002-100850000(probes 54170:54174)    	chr3:100730002-100950000(probes 54167:54181)    	8.7207e-05	  0.0029522		0: t<0.3; 1: 0.3<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	2	0	
Amplification Peak 10	3q26.1  	chr3:164950002-165110000(probes 60447:60457)    	chr3:164970002-165090000(probes 60448:60456)    	chr3:164950002-165140000(probes 60447:60460)    	1.0689e-05	  0.0007638		0: t<0.3; 1: 0.3<t< 0.9; 2: t>0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	2	0	
