sample	chromosome	start	end	num.mark	log2
C3L-00017	1	830000.5	1770000.5	46	0.1792
C3L-00017	1	1790000.5	26570000.5	1190	0.0964
C3L-00017	1	26590000.5	29590000.5	150	-0.2076
C3L-00017	1	29610000.5	31050000.5	71	-0.3625
C3L-00017	1	31070000.5	121590000.5	4409	-0.0457
C3L-00017	1	124950000.5	248930000.5	4984	0.3608
C3L-00017	2	30000.5	7710000.5	383	-0.0813
C3L-00017	2	7730000.5	242110000.5	11156	0.0134
C3L-00017	3	30000.5	198130000.5	9698	0.0046
C3L-00017	4	50000.5	190010000.5	9281	-0.0123
C3L-00017	5	30000.5	65890000.5	3037	0.0157
C3L-00017	5	65910000.5	79790000.5	601	-0.2359
C3L-00017	5	79810000.5	181290000.5	5019	0.0119
C3L-00017	6	170000.5	16710000.5	824	-0.2558
C3L-00017	6	16730000.5	18590000.5	94	0.0884
C3L-00017	6	18610000.5	27790000.5	442	-0.2373
C3L-00017	6	27810000.5	41510000.5	675	0.0037
C3L-00017	6	41530000.5	60290000.5	826	0.2081
C3L-00017	6	60330000.5	86830000.5	1299	0.0012
C3L-00017	6	86850000.5	160890000.5	3678	-0.222
C3L-00017	6	160910000.5	170590000.5	481	-0.0552
C3L-00017	7	50000.5	149770000.5	6999	0.22
C3L-00017	7	149790000.5	149870000.5	5	0.9947
C3L-00017	7	149890000.5	159310000.5	459	0.1911
C3L-00017	8	250000.5	37710000.5	1775	-0.244
C3L-00017	8	37730000.5	38450000.5	37	1.9807
C3L-00017	8	38470000.5	38850000.5	20	2.6444
C3L-00017	8	38870000.5	39210000.5	18	0.3832
C3L-00017	8	39230000.5	39610000.5	20	0.0124
C3L-00017	8	39630000.5	43350000.5	187	0.4449
C3L-00017	8	43370000.5	144490000.5	4870	0.0163
C3L-00017	8	144510000.5	145070000.5	29	0.2864
C3L-00017	9	210000.5	29750000.5	1467	-0.2583
C3L-00017	9	29770000.5	138170000.5	3938	0.0635
C3L-00017	10	70000.5	133610000.5	6358	0.0058
C3L-00017	11	210000.5	135050000.5	6408	-0.0035
C3L-00017	12	50000.5	33990000.5	1681	-0.2208
C3L-00017	12	34010000.5	133250000.5	4758	0.0284
C3L-00017	13	18210000.5	18910000.5	14	0.2283
C3L-00017	13	18930000.5	29330000.5	517	-0.244
C3L-00017	13	29350000.5	114350000.5	4208	0.0142
C3L-00017	14	16090000.5	106870000.5	4338	0.0063
C3L-00017	15	17030000.5	19890000.5	6	0.3422
C3L-00017	15	19910000.5	78750000.5	2709	-0.1163
C3L-00017	15	78770000.5	101850000.5	1122	0.1028
