cytoband	2q31.2	9p21.3	2p11.1	1p35.2	1q31.1	20q11.1	10q11.21	14q32.33	16p12.3	19q13.2	18q21.2	1q21.1	17p11.2	16p11.2	Yq11.221	17p13.1	17q24.2	Xp22.33	6p25.1	7q36.3	22q11.22	4q35.2	6q25.3	19q13.42	7q34	12q21.31	22q13.33	16q11.2	15q14	6q11.1	12p13.33	1q44	2p23.1	9q21.31	
q value	1.0247e-20	2.4165e-17	9.0808e-13	6.8248e-07	3.714e-05	0.00044808	0.0006407	0.0012694	0.0012694	0.0018688	0.0025892	0.0054071	0.0074291	0.0017156	0.014623	0.015624	0.025396	0.025441	0.028399	0.014623	0.026101	0.04635	0.04986	0.063587	0.016897	0.076258	0.063587	0.016897	0.13679	0.15356	0.17318	0.23749	0.25953	0.24109	
residual q value	1.0247e-20	2.4165e-17	9.0808e-13	6.8248e-07	3.714e-05	0.00042964	0.0006407	0.0012694	0.0019236	0.0019236	0.0023905	0.0054071	0.0076718	0.012504	0.014623	0.015552	0.025441	0.025441	0.028399	0.036226	0.036226	0.04635	0.04635	0.063673	0.082642	0.082642	0.082642	0.12605	0.1414	0.15559	0.17019	0.2624	0.2624	0.2624	
wide peak boundaries	chr2:178490002-178830000	chr9:21860002-22450000	chr2:89630002-94760000	chr1:29210002-30720000	chr1:185620002-186450000	chr20:26190002-29430000	chr10:38690002-42410000	chr14:105850002-107043718	chr16:20370002-20630000	chr19:39530002-39790000	chr18:50810002-52350000	chr1:121570002-143710000	chr17:22410002-27080000	chr16:33770002-35170000	chrY:8770002-20530000	chr17:10350002-10630000	chr17:68670002-69250000	chrX:1-150910000	chr6:1-165420000	chr7:146100002-159345973	chr22:22550002-23070000	chr4:188600002-190214555	chr6:160250002-161010000	chr19:54670002-54890000	chr7:141480002-143030000	chr12:74120002-126710000	chr22:41230002-50818468	chr16:34150002-46580000	chr15:35510002-87590000	chr6:57510002-63280000	chr12:1-25020000	chr1:1-248956422	chr2:1-242193529	chr9:1-138394717	
genes in wide peak	TTN	CDKN2A	ACTR3BP2	PTPRU	PDC	FRG2EP	ACTR3BP5	ADAM6	ACSM5	CLC	SMAD4	LOC645166	MTRNR2L1	hsa-mir-1826	TSPY1	MYH1	ABCA10	hsa-mir-220a	hsa-mir-2113	hsa-mir-1975	POM121L1P	FRG1	LPA	KIR2DL1	EPHB6	ACACB	ACR	hsa-mir-1826	ADAM10	KHDRBS2	hsa-mir-1244-3	hsa-mir-664	hsa-mir-1244-1	ABCA1	
	TTN-AS1	CDKN2B	GGT8P	LOC101928460	TPR	MIR663A	LOC441666	FAM30A	ACSM2A	LGALS13	ME2	RNVU1-17		LINC00273	UTY	MYH2	ABCA9	hsa-mir-362	ABCF1	AOC1	GGTLC2	FRG2	PLG	KIR2DL2	KEL	ACADS	ACO2	ANKRD26P1	ANXA2	GUSBP4	A2M	hsa-mir-3119-1	hsa-mir-3130-3	ABCA2	
	LOC101927055	CDKN2A-AS1	LOC654342	LOC101929406	PRG4	FRG1CP		LINC00226	ACSM2B	LGALS14	MEX3C				KDM5D	MYH4	ABCA8	hsa-mir-1308	ACAT2	CDK5	LL22NC03-63E9.3	DUX4	SLC22A3	KIR2DL3	PRSS1	ALDH2	ARSA	FRG2DP	AQP9	MTRNR2L9	A2MP1	hsa-mir-551a	hsa-mir-1245	ABL1	
		CDKN2B-AS1	LOC100133920		OCLM	FRG1DP		LINC00221		EID2B	ELAC1				USP9Y	MYH8	ABCA6	ABCB7	CRISP1	DPP6	MIR650	DBET	LPAL2	KIR2DL4	PRSS2	APAF1	BIK	LINC01566	B2M	LINC00680	APOBEC1	ABCA4	AAMP	ABO	
					C1orf27			MIR4507		LGALS16	LINC01630				DDX3Y	MYHAS	PRO1804	AGTR2	AGER	EN2	IGLL5	LINC01262		KIR2DS1	TAS2R38	ARL1	TSPO	FLJ26245	BBS4	LINC00680-GUSBP4	ARHGDIB	ABL2	ACADL	ACO1	
					HMCN1			MIR4538		EID2					XKRY		MIR4524A	NR0B1	AIF1	EZH2	MIR5571	LINC01596		KIR2DS3	SSBP1	ASCL1	MPPED1	UBE2MP1	BCL2A1		ART4	ACADM	ACP1	PLIN2	
								MIR4539		LEUTX					VCY		MIR4524B	ALAS2	AIM1	GBX1				KIR2DS4	MGAM	ATP2A2	CHKB	LINC00273	BNC1		BCAT1	ACTA1	ACTG2	AK1	
								MIR4537		LGALS17A					TMSB4Y		ABCA9-AS1	AMELX	AMD1	MNX1				KIR2DS5	CLEC5A	ATP2B1	CPT1B	TP53TG3HP	BNIP2		C1R	ACTN2	ACVR1	ALAD	
								MIR5195		LOC100129935					CDY2A			SLC25A5	ARG1	HTR5A				KIR3DL1	TAS2R3	BCL7A	CYP2D7		BUB1B		C1S	ADAR	ACVR2A	ALDH1A1	
								MIR7641-2							NLGN4Y			SLC25A6	ATP6V1G2	INSIG1				KIR3DL2	TAS2R4	BTG1	CYP2D6		CA12		C3AR1	ADORA1	ACYP2	ALDH1B1	
															TTTY1			XIAP	ADGRB3	KCNH2				KIR3DS1	TAS2R5	SCARB1	CYB5R3		CAPN3		CACNA1C	ADORA3	ADCY3	ALDOB	
															TTTY2			SHROOM2	BAK1	NOS3				LILRP2	TRPV6	CMKLR1	TYMP		CHRNA3		CCND2	PARP1	ADD2	AMBP	
															RBMY3AP			AR	BCKDHB	PTPRN2				KIR3DL3	AGK	COX6A1	FBLN1		CHRNA5		CD4	ADSS	ADRA2B	ANXA1	
															TTTY15			ARAF	CFB	RARRES2				KIR2DS2	TRPV5	CRY1	XRCC6		CHRNB4		CD9	AGL	AGXT	ANXA2P2	
															TTTY9A			ARHGAP6	PRDM1	RHEB				LOC101928804	KIAA1147	CSRP2	NAGA		CKMT1B		CD27	AGT	ALK	NUDT2	
															TTTY11			ARR3	BMP5	RNY1					MGAM2	DAO	NDUFA6		CLK3		CD69	AK2	ALPI	APBA1	
															TTTY14			STS	BMP6	RNY3					OR9A4	DCN	SNU13		CRABP1		CDKN1B	AK4	ALPP	AQP3	
															TTTY8			ARSD	DST	RNY4					OR9A2	EPYC	PMM1		CSK		CHD4	ALDH9A1	ALPPL2	AQP7	
															HSFY1			ARSE	BPHL	RNY5					C7orf34	DTX1	PPARA		CSPG4		CREBL2	ALPL	BIN1	ASS1	
